ano_registro,id_producto,titulo,tipo_producto,institucion,grupo_red,responsable
2007,300100001,Curso-talle Auditor Lider Certificado ISO 22000:2005,Consultores certificados,Food Safety International Network,Sin dato,Montoya Rodríguez Leobardo
2007,300100004,Evaluador Acreditado RCEA-03-3933-2003,Consultores certificados,Conacyt,Sin dato,Valenzuela Quintanar Ana Isabel
2007,300100006,Consultor certificado RCEA-06-7245-2002,Consultores certificados,Conacyt,Sin dato,Yépiz Plascencia Gloria Martína
2007,300100007,Curso de entrenamiento para supervisores de autoclaves y sistemas de procesamiento térmico de alimentos de baja acidez y acidificados,Consultores certificados,VascoTech and Sciences,Sin dato,Muy Rangel María Dolores
2007,300100009,Miembro del comité de acreditación de evaluadores del área 6,Consultores certificados,Conacyt,Sin dato,Vázquez Moreno Luz
2007,300100010,Prerrequisitos y Formación de Auditores HACCP,Consultores certificados,Lefix y Asociados,Sin dato,Noriega Orozco Lorena Olivia
2007,300100011,HACCP: Un concepto básico para la protección de alimentos,Consultores certificados,International HACCP Food Safety. HACCP Alliance,Sin dato,Noriega Orozco Lorena Olivia
2007,300100012,Evaluados Miembro del Registro Conacyt de Evaluadores Acreditados,Consultores certificados,Conacyt,Sin dato,Huesca Reynoso Luis
2007,300100013,"Regional training course on data analysis on prediction of body composition, physical activity and energy expediture",Consultores certificados,Organismo Internacional de Energía Atómica,Sin dato,Valencia Juillerat Mauro Eduardo Fernando
2007,300100015,EurepGAP Trainer,Consultores certificados,EurepGAP,Sin dato,Ávila Quezada Graciela Dolores
2007,300100017,RCEA-06-9569-2004,Consultores certificados,Conacyt,Sin dato,Montoya Rodríguez Leobardo
2007,300100020,Consultoría General,Consultores certificados,RICSA,Sin dato,Vallejo Galland Belinda
2007,300100021,RCEA-03-9675-2005,Consultores certificados,Conacyt,Sin dato,Alemán Mateo Heliodoro
2007,300100022,RCEA-02-2101-2002,Consultores certificados,Conacyt,Sin dato,Calderón de la Barca Cota Ana María
2007,300100023,RCEA-05-5857-2003,Consultores certificados,Conacyt,Sin dato,Ortega Vélez María Isabel
2007,300100024,RCEA-03-3150-2002,Consultores certificados,Conacyt,Sin dato,Valencia Juillerat Mauro Eduardo Fernando
2007,300100025,RCEA-03-3810-2002,Consultores certificados,Conacyt,Sin dato,Moya Camarena Silvia Yolanda
2007,300100026,RCEA-06-6860-2002,Consultores certificados,Conacyt,Sin dato,De la Torre Martínez María Mayra
2007,300100027,RCEA-02-2364-2002,Consultores certificados,Conacyt,Sin dato,Valenzuela Soto Elisa Miriam
2007,300100028,RCEA-06-6914-2002,Consultores certificados,Conacyt,Sin dato,Vázquez Moreno Luz
2007,300100029,RCEA-06-7423-2002,Consultores certificados,Conacyt,Sin dato,Vargas Arispuro Irasema del Carmen
2007,300100030,RCEA-06-7226-2002,Consultores certificados,Conacyt,Sin dato,González Aguilar Gustavo Adolfo
2007,300100031,RCEA-07-7869-2002,Consultores certificados,Conacyt,Sin dato,Islas Rubio Alma Rosa
2007,300100032,RCEA-06-7569-2002,Consultores certificados,Conacyt,Sin dato,Islas Osuna María Auxiliadora
2007,300100033,RCEA-06-13471-2006,Consultores certificados,Conacyt,Sin dato,Acedo Félix Evelia
2007,300100034,RCEA-06-11701-2006,Consultores certificados,Conacyt,Sin dato,Alvarez-Lajonchere García Luis Sergio
2007,300100035,RCEA-02-3060-2003,Consultores certificados,Conacyt,Sin dato,Argüelles Monal Waldo Manuel
2007,300100036,RCEA-06-12241-2005,Consultores certificados,Conacyt,Sin dato,Ávila Quezada Graciela Dolores
2007,300100037,RCEA-06-6729-2002,Consultores certificados,Conacyt,Sin dato,Báez Sañudo Reginaldo
