Estado,Latitud,Longitud
Aguascalientes,21.8853,-102.2916
Baja California,30.8406,-115.2838
Baja California Sur,26.0444,-111.6661
Campeche,19.8301,-90.5349
Chiapas,16.7569,-93.1292
Chihuahua,28.632,-106.0691
Ciudad de México,19.4326,-99.1332
Coahuila,27.0587,-101.7068
Colima,19.2452,-103.724
Durango,24.5593,-104.6588
Estado de México,19.3587,-99.6823
Guanajuato,21.019,-101.2574
Guerrero,17.4392,-99.5451
Hidalgo,20.0911,-98.7624
Jalisco,20.6597,-103.3496
Michoacán,19.5665,-101.7068
Morelos,18.6813,-99.1013
Nayarit,21.7514,-104.8455
Nuevo León,25.5922,-99.9962
Oaxaca,17.0732,-96.7266
Puebla,19.0414,-98.2063
Querétaro,20.5888,-100.3899
Quintana Roo,19.1817,-88.4791
San Luis Potosí,22.1565,-100.9855
Sinaloa,25.1721,-107.4795
Sonora,29.2972,-110.3309
Tabasco,17.8409,-92.6189
Tamaulipas,24.2669,-98.8363
Tlaxcala,19.3182,-98.2375
Veracruz,19.1738,-96.1342
Yucatán,20.7099,-89.0943
Zacatecas,22.7709,-102.5832
